episode,total_reward
208,0.3900000000000001
209,0.24
210,0.3000000000000001
211,-0.12000000000000002
212,-0.1
213,0.41000000000000003
214,0.45
215,0.45000000000000007
216,0.24000000000000005
217,0.3900000000000001
218,0.41000000000000003
219,0.15000000000000002
220,0.0900000000000001
221,0.3
222,0.45
223,0.30000000000000004
224,0.3
225,0.15000000000000002
226,-8.673617379884035e-18
227,0.45
228,0.45000000000000007
229,0.3
230,0.08999999999999998
231,0.09
232,0.24
233,0.3
234,0.24000000000000002
235,0.0900000000000001
236,0.15000000000000002
237,0.3900000000000001
238,0.24000000000000005
239,0.3000000000000001
240,0.20000000000000007
241,0.24000000000000002
242,0.24
243,0.45
244,0.030000000000000006
245,0.08999999999999998
246,5.551115123125783e-17
247,0.11
248,0.09000000000000001
249,0.24000000000000005
250,0.24000000000000005
251,0.07
252,0.24
253,4.163336342344337e-17
254,-0.04
255,0.08999999999999998
256,-0.06000000000000001
257,0.24
258,0.09000000000000004
259,0.18000000000000005
260,0.02999999999999997
261,0.18
262,0.3
263,0.39000000000000007
264,0.24000000000000005
265,0.030000000000000027
266,0.30000000000000004
267,0.15000000000000002
268,0.24000000000000005
269,0.15000000000000002
270,0.3
271,-0.06000000000000001
272,0.0
273,0.3900000000000001
274,0.45
275,0.3
276,0.45
277,0.45
278,0.3000000000000001
279,0.30000000000000004
280,0.05000000000000001
281,0.45
282,0.15000000000000002
283,0.3000000000000001
284,0.45
285,0.45
286,-0.060000000000000005
287,0.45
288,0.45
289,0.15000000000000002
290,-0.1
291,0.09
292,0.45
293,0.3900000000000001
294,0.18
295,0.2400000000000001
296,0.3000000000000001
297,0.39
298,0.15000000000000002
299,0.24000000000000002
300,0.45
301,-0.19
302,0.08999999999999998
303,0.39
304,0.30000000000000004
305,0.2400000000000001
306,0.3
307,0.24
308,0.45
309,0.11000000000000006
310,-0.06000000000000001
311,0.08999999999999998
312,0.18
313,0.11
314,0.19999999999999996
315,0.04999999999999999
316,0.2400000000000001
317,0.39
318,0.24000000000000005
319,0.30000000000000004
320,0.24000000000000005
321,0.45
322,0.2400000000000001
323,0.39
324,0.15000000000000002
325,0.18000000000000005
326,0.24000000000000005
327,0.2400000000000001
328,0.45
329,0.09000000000000002
330,0.39
331,0.3000000000000001
332,0.30000000000000004
333,0.24000000000000005
334,0.3
335,0.24000000000000005
336,0.24000000000000005
337,0.24000000000000005
338,0.09000000000000002
339,0.32
340,0.08999999999999998
341,0.45
342,0.3
343,0.30000000000000004
344,0.3900000000000001
345,0.09000000000000004
346,0.24000000000000005
347,0.09000000000000004
348,0.24
349,0.39
350,0.24
351,0.24000000000000005
352,0.030000000000000027
353,0.45
354,0.3
355,0.39
356,0.24
357,0.3
358,0.45
359,0.3
360,0.45
361,0.45
362,0.24
363,0.24
364,0.3
365,0.09000000000000004
366,0.24
367,0.08999999999999997
368,0.3000000000000001
369,0.24
370,0.39
371,0.3
372,0.3000000000000001
373,0.3900000000000001
374,0.3000000000000001
375,0.1800000000000001
376,0.39
377,0.39000000000000007
378,0.06999999999999998
379,0.11
380,0.2400000000000001
381,0.39
382,-1.3877787807814457e-17
383,0.45
384,0.24000000000000005
385,0.45
386,0.3
387,0.3900000000000001
388,0.2600000000000001
389,0.24000000000000002
390,0.30000000000000004
391,0.22000000000000003
392,0.15000000000000002
393,0.09
394,0.39
395,0.45
396,-0.17999999999999997
397,0.24
398,0.11
399,-0.010000000000000009
400,0.11
401,0.15000000000000008
402,0.09
403,0.15000000000000002
404,0.11
405,0.3
406,-0.42000000000000004
407,0.24
408,0.39000000000000007
409,0.39
410,0.24000000000000002
411,0.41000000000000003
412,0.45
413,0.39
414,0.45
415,0.30000000000000004
416,0.45
417,0.39
418,0.41000000000000003
419,0.39
420,0.30000000000000004
421,0.39
422,0.11
423,0.24000000000000005
424,0.39000000000000007
425,0.24
426,0.39
427,0.3900000000000001
428,0.45000000000000007
429,0.39
430,0.45
431,0.24
432,0.15000000000000002
433,0.45
434,0.39000000000000007
435,0.15000000000000002
436,0.45
437,0.2400000000000001
438,0.45
439,0.45
440,0.45
441,0.3000000000000001
442,0.15000000000000002
443,0.24
444,0.45
445,0.39000000000000007
446,0.45
447,0.24
448,0.2400000000000001
449,0.39
450,0.30000000000000004
451,0.3
452,0.3000000000000001
453,0.45
454,0.3000000000000001
455,0.08999999999999997
456,0.45000000000000007
457,0.30000000000000004
458,0.24
459,0.15000000000000002
460,0.45
461,0.029999999999999992
462,0.39000000000000007
463,0.45
464,0.24000000000000002
465,0.09000000000000002
466,0.15000000000000002
467,0.08999999999999998
468,0.24000000000000002
469,0.0
470,0.15000000000000002
471,0.09000000000000002
472,0.09000000000000004
473,0.0
474,0.45
475,0.08999999999999998
476,0.15000000000000002
477,0.3900000000000001
478,0.45
479,0.0900000000000001
480,0.2400000000000001
481,0.18000000000000005
482,0.15000000000000002
483,0.45
484,0.3900000000000001
485,0.30000000000000004
486,0.26
487,0.30000000000000004
488,0.45
489,0.3900000000000001
490,0.24000000000000005
491,0.45
492,0.24000000000000005
493,0.45
494,0.45
495,0.24000000000000005
496,0.3
497,0.30000000000000004
498,0.3
499,0.41000000000000003
500,0.39
