episode,total_reward
1,-0.22000000000000003
2,-0.16000000000000003
3,-0.22
4,-0.18000000000000005
5,0.010000000000000037
6,-0.029999999999999985
7,-0.009999999999999953
8,-0.25
9,0.05
10,-0.009999999999999981
11,0.22000000000000008
12,0.009999999999999981
13,-0.11999999999999997
14,0.05000000000000002
15,0.18
16,0.1800000000000001
17,0.11000000000000004
18,0.26000000000000006
19,0.24
20,0.24000000000000005
21,0.09
22,0.39
23,0.39
24,0.09
25,0.15000000000000002
26,0.41000000000000003
27,0.39
28,0.09
29,0.39
30,0.18
31,0.24
32,0.39
33,0.09
34,0.45
35,0.15000000000000002
36,0.24
37,0.09000000000000004
38,0.39
39,0.0900000000000001
40,0.26
41,0.39
42,0.24000000000000005
43,0.39
44,0.24
45,0.24
46,0.09000000000000002
47,0.39
48,0.39
49,0.24
50,0.39
51,0.24
52,0.39000000000000007
53,0.09
54,0.09000000000000002
55,0.45
56,0.39
57,0.18000000000000005
58,0.24000000000000002
59,0.39
60,0.39
61,0.08999999999999997
62,0.30000000000000004
63,0.24
64,0.0
65,0.24000000000000005
66,0.39000000000000007
67,-0.1
68,0.45
69,0.24
70,0.15000000000000002
71,0.24
72,0.15000000000000008
73,0.39
74,0.26000000000000006
75,0.08999999999999998
76,0.39
77,0.24
78,0.20000000000000007
79,0.24000000000000005
80,0.04999999999999999
81,0.02999999999999997
82,0.18000000000000005
83,-0.060000000000000005
84,0.09000000000000004
85,0.18000000000000005
86,0.08999999999999998
87,0.18000000000000005
88,0.050000000000000044
89,-0.11999999999999997
90,0.39
91,0.39
92,0.09
93,0.24000000000000005
94,0.24000000000000002
95,-0.06
96,0.15000000000000002
97,0.26
98,0.2400000000000001
99,0.24
100,0.09
101,0.17000000000000004
102,0.26
103,0.39
104,0.39
105,0.24000000000000002
106,0.09000000000000001
107,0.04999999999999998
108,0.39
109,0.09
110,0.39
111,0.09000000000000002
112,-0.06000000000000001
113,0.24000000000000005
114,0.24000000000000005
115,0.24
116,0.39
117,0.08999999999999998
118,0.3
119,0.24000000000000005
120,0.2400000000000001
121,0.24000000000000002
122,0.2400000000000001
123,0.04999999999999996
124,0.39
125,0.20000000000000004
126,0.24000000000000005
127,0.26
128,0.26
129,0.39
130,0.39
131,0.45
132,0.2
133,0.18000000000000005
134,0.15000000000000002
135,0.39
136,0.3900000000000001
137,0.39
138,0.09000000000000004
139,0.24000000000000005
140,0.09000000000000004
141,0.24000000000000002
142,0.24
143,0.3
144,0.24000000000000005
145,0.24000000000000002
146,0.45
147,0.39000000000000007
148,0.16999999999999998
149,0.39
150,0.39
151,0.030000000000000027
152,0.39
153,0.24
154,0.45
155,0.2400000000000001
156,0.45
157,0.24000000000000005
158,0.39000000000000007
159,0.41000000000000003
160,0.45
161,0.45
162,0.09
163,0.39
164,0.24000000000000005
165,0.30000000000000004
166,0.11
167,0.15000000000000002
168,0.09000000000000004
169,0.09
170,0.20000000000000007
171,0.08999999999999997
172,0.09000000000000002
173,0.41000000000000003
174,0.3
175,0.39
176,0.15000000000000002
177,0.3000000000000001
178,0.09
179,0.24000000000000005
180,0.24000000000000005
181,0.24
182,0.41000000000000003
183,0.3900000000000001
184,0.39
185,0.39
186,0.45
187,0.30000000000000004
188,0.45
189,0.39
190,0.24000000000000002
191,0.41000000000000003
192,0.26000000000000006
193,0.24000000000000005
194,0.45
195,0.24000000000000005
196,0.3
197,0.45
198,0.3000000000000001
199,0.24
200,0.09
201,0.45
202,0.45
203,0.39000000000000007
204,0.08999999999999998
205,0.24
206,0.39
207,0.08999999999999998
